"Timestamp","Do you have a library card?","About how many times a year do you visit a public library?","About how many items per year does your household check out from a public library?","Of the above, about how many are speculative fiction (sci-fi, fantasy, horror, alternate history, and similar)?","Do you like to read any of the following (mark all that apply)?","What is your preference for print versus electronic books?","When choosing a book to read, how important are the following factors? [High rating online (e.g. on Goodreads or Amazon)]","When choosing a book to read, how important are the following factors? [I recognize the author.]","When choosing a book to read, how important are the following factors? [It is the first book in a series.]","When choosing a book to read, how important are the following factors? [I am a big fan of this sub-genre.]","When choosing a book to read, how important are the following factors? [I have read other books in this series.]","When choosing a book to read, how important are the following factors? [The library has several other books in this series.]","When choosing a book to read, how important are the following factors? [This book ties in with or is related to a movie or TV show that I like. ]","When choosing a book to read, how important are the following factors? [The book is on the ""new books"" shelf or has a ""new"" sticker.]","When choosing a book to read, how important are the following factors? [I read a review of this book.]","When choosing a book to read, how important are the following factors? [I've heard this book is a ""classic"".]","When choosing a book to read, how important are the following factors? [A library employee recommended this book.]","When choosing a book to read, how important are the following factors? [This book won a reward.]","When choosing a book to read, how important are the following factors? [Other (please write in below)]","If you filled in anything for ""other"" above, what did you have in mind?","Do any of the following describe you? (mark all that apply)","What is your age?","What is the highest level of education you have completed?","What is your gender?","How many people live in your household?","What is your annual household income?","What is your zip code?"
"2018/04/26 7:05:37 PM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Adult Novels;Audiobooks","1","Not At All Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Very Important","Not At All Important","Not At All Important","Not Very Important","Not At All Important","Moderately Important","Not At All Important","Not At All Important","","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$20,000 to $50,000",""
"2018/04/26 7:07:55 PM MDT","Yes","11-20 times per year","6-20 items","6-20 items","Adult Novels;Short Fiction;Audiobooks","4","Not Very Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not At All Important","Not At All Important","","","Entertainment Industry Professional","55-64","Some College","Female","One","Don't know or prefer not to say","47201"
"2018/04/26 7:15:30 PM MDT","Yes","4-10 times per year","","21-50 items","Young Adult Novels","3","Not At All Important","Moderately Important","Moderately Important","Very Important","Moderately Important","Very Important","Not Very Important","Not At All Important","Not At All Important","Not Very Important","Not Very Important","Not Very Important","","","Humanities Scholar or Academic Librarian","35-54","Masters Degree and/or professional license","Female","4-6","$50,001 to $100,000","95618"
"2018/04/26 7:16:05 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels","5","Not At All Important","Moderately Important","Not At All Important","Extremely Important","Extremely Important","Extremely Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","","Public Librarian","35-54","Masters Degree and/or professional license","Female","One","$50,001 to $100,000","31008"
"2018/04/26 7:16:50 PM MDT","Yes","21 or more times per year","21-50 items","21-50 items","Young Adult Novels;Adult Novels;Audiobooks","4","Moderately Important","Not Very Important","Not Very Important","Very Important","Very Important","Not Very Important","Not At All Important","Moderately Important","Very Important","Not At All Important","Moderately Important","Moderately Important","Not At All Important","","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","44107"
"2018/04/26 7:17:50 PM MDT","Yes","21 or more times per year","21-50 items","21-50 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","4","Not At All Important","Moderately Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Extremely Important","Not At All Important","","","Public Librarian","25-34","Bachelors degree","Male","2-3","$20,000 to $50,000","19335"
"2018/04/26 7:19:38 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Audiobooks","4","Moderately Important","Moderately Important","Extremely Important","Moderately Important","Very Important","Moderately Important","Not At All Important","Not At All Important","Moderately Important","Not At All Important","Moderately Important","Not Very Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","4-6","$101,000 to $250,000",""
"2018/04/26 7:22:30 PM MDT","Yes","4-10 times per year","2-5 items","One or fewer items","","1","Not At All Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Adventure themes","Public Librarian","Over 64","Masters Degree and/or professional license","Male","2-3","$50,001 to $100,000","91942"
"2018/04/26 7:24:23 PM MDT","Yes","11-20 times per year","21-50 items","One or fewer items","Young Adult Novels;Adult Novels;Audiobooks","4","Not Very Important","Moderately Important","Moderately Important","Very Important","Moderately Important","Not Very Important","Not At All Important","Not Very Important","Not Very Important","Not At All Important","Not Very Important","Not At All Important","","","Humanities Scholar or Academic Librarian","35-54","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","33811"
"2018/04/26 7:27:04 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","4","Moderately Important","Moderately Important","","","Very Important","Not Very Important","Not At All Important","Not At All Important","Very Important","Not Very Important","Very Important","Very Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","54701"
"2018/04/26 7:29:26 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction","1","Not At All Important","Not Very Important","Extremely Important","Very Important","Extremely Important","Very Important","Very Important","Not Very Important","Not Very Important","Very Important","Very Important","Not At All Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$20,000 to $50,000","90640"
"2018/04/26 7:32:15 PM MDT","Yes","21 or more times per year","More than fifty items","2-5 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","1","Moderately Important","Not Very Important","Extremely Important","Not Very Important","Very Important","Extremely Important","Not Very Important","Not At All Important","Extremely Important","Very Important","Very Important","Not At All Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","90713"
"2018/04/26 7:33:15 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Audiobooks","1","Moderately Important","Very Important","Extremely Important","Extremely Important","Extremely Important","Not At All Important","Moderately Important","Not Very Important","Not Very Important","Not At All Important","Very Important","Very Important","Extremely Important","Literally if I like the genre and the cover. ","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","71291"
"2018/04/26 7:39:58 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Audiobooks","6","Not Very Important","Very Important","Not At All Important","Moderately Important","Moderately Important","Moderately Important","Very Important","Not At All Important","Very Important","Not At All Important","Very Important","Not At All Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","60174"
"2018/04/26 7:41:24 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels","4","Not Very Important","Moderately Important","Very Important","Not At All Important","Very Important","Very Important","Not Very Important","Moderately Important","Moderately Important","Not Very Important","Moderately Important","Moderately Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","$101,000 to $250,000","22015"
"2018/04/26 7:42:36 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Audiobooks","3","Moderately Important","Not Very Important","Not At All Important","Not Very Important","Not At All Important","Not At All Important","Moderately Important","Not Very Important","Moderately Important","Not Very Important","Moderately Important","Not Very Important","","","Public Librarian","25-34","Bachelors degree","Female","2-3","$50,001 to $100,000",""
"2018/04/26 7:44:41 PM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Adult Novels;Audiobooks","5","Moderately Important","Moderately Important","Extremely Important","Moderately Important","Extremely Important","Extremely Important","Not Very Important","Not Very Important","Very Important","Not At All Important","Very Important","Not Very Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","Don't know or prefer not to say","95610"
"2018/04/26 7:45:09 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","2","Moderately Important","Moderately Important","Not Very Important","Very Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Moderately Important","Moderately Important","Moderately Important","Moderately Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","54935"
"2018/04/26 7:45:20 PM MDT","Yes","21 or more times per year","21-50 items","21-50 items","Young Adult Novels;Adult Novels","6","Very Important","Very Important","Extremely Important","Moderately Important","Moderately Important","Moderately Important","Moderately Important","Not At All Important","Not Very Important","Not Very Important","Moderately Important","Very Important","","","Humanities Scholar or Academic Librarian","35-54","Doctorate","Female","2-3","$50,001 to $100,000","46208"
"2018/04/26 7:45:23 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Audiobooks","7","Moderately Important","Moderately Important","Very Important","Very Important","Very Important","Not Very Important","Moderately Important","Not Very Important","Extremely Important","Moderately Important","Extremely Important","Extremely Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","One","$20,000 to $50,000","14850"
"2018/04/26 7:49:34 PM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Adult Novels;Audiobooks","4","Moderately Important","Not Very Important","Not At All Important","Moderately Important","Moderately Important","","Not At All Important","Not At All Important","Moderately Important","Not At All Important","Very Important","Moderately Important","Not At All Important","","Public Librarian","25-34","Masters Degree and/or professional license","Female","4-6","$50,001 to $100,000","11963"
"2018/04/26 8:06:51 PM MDT","Yes","21 or more times per year","21-50 items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","4","Not Very Important","Not At All Important","Moderately Important","Moderately Important","Moderately Important","Not Very Important","Not Very Important","Not Very Important","Moderately Important","Not At All Important","Moderately Important","Not At All Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","4-6","$250,001 to $500,000","02871"
"2018/04/26 8:13:14 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","4","Moderately Important","Not Very Important","Very Important","Moderately Important","Moderately Important","Not Very Important","Not Very Important","Not Very Important","Very Important","Moderately Important","Moderately Important","Moderately Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","35242"
"2018/04/26 8:23:31 PM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","3","Very Important","Moderately Important","Moderately Important","Very Important","Moderately Important","Moderately Important","Not At All Important","Not Very Important","Not At All Important","Not At All Important","Not Very Important","Not At All Important","Not At All Important","","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$20,000 to $50,000","47802"
"2018/04/26 8:25:59 PM MDT","Yes","11-20 times per year","6-20 items","One or fewer items","Adult Novels;Audiobooks","2","Moderately Important","Not Very Important","Not Very Important","Moderately Important","Not Very Important","Not Very Important","Not Very Important","Not At All Important","Moderately Important","Moderately Important","Not Very Important","Not Very Important","","","Primary or Secondary Teacher or School Librarian","35-54","Masters Degree and/or professional license","Female","One","Don't know or prefer not to say",""
"2018/04/26 8:36:47 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels","3","Not Very Important","Moderately Important","Moderately Important","Moderately Important","Moderately Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Moderately Important","Moderately Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","92610"
"2018/04/26 8:44:49 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels","3","Moderately Important","Moderately Important","Very Important","Extremely Important","Very Important","Very Important","Moderately Important","Not Very Important","Moderately Important","Not Very Important","Moderately Important","Not Very Important","Very Important","The cover art, whether the book is written in 1st or 3rd person, summary, unique plot/characters/world building","Public Librarian","35-54","Masters Degree and/or professional license","Female","One","$50,001 to $100,000","46219"
"2018/04/26 8:45:50 PM MDT","Yes","11-20 times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Short Fiction","5","Not At All Important","Moderately Important","Moderately Important","Moderately Important","Very Important","Very Important","Very Important","Very Important","Very Important","Moderately Important","Extremely Important","Very Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Male","2-3","$50,001 to $100,000","92227"
"2018/04/26 8:45:52 PM MDT","Yes","21 or more times per year","21-50 items","6-20 items","Young Adult Novels;Adult Novels;Audiobooks","1","Moderately Important","Moderately Important","Not Very Important","Very Important","Extremely Important","Not Very Important","Moderately Important","Not Very Important","Moderately Important","Not Very Important","Moderately Important","Not Very Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","4-6","$101,000 to $250,000",""
"2018/04/26 8:56:02 PM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Adult Novels;Short Fiction","2","Not Very Important","Not Very Important","Not Very Important","","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Moderately Important","Moderately Important","Extremely Important","Plot description on jacket sounds interesting","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","06403"
"2018/04/26 9:04:15 PM MDT","Yes","21 or more times per year","More than fifty items","2-5 items","Young Adult Novels;Adult Novels;Audiobooks","3","Moderately Important","Very Important","Extremely Important","Moderately Important","Very Important","Extremely Important","Extremely Important","Not Very Important","Moderately Important","Moderately Important","Moderately Important","Moderately Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","One","$50,001 to $100,000","1111111"
"2018/04/26 9:15:53 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Short Fiction","1","Not Very Important","Moderately Important","Very Important","Moderately Important","Not Very Important","Not At All Important","Not Very Important","Moderately Important","Very Important","Not At All Important","Very Important","Moderately Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","One","$20,000 to $50,000","60305"
"2018/04/26 9:23:53 PM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","1","Moderately Important","Moderately Important","Not At All Important","Moderately Important","Very Important","Moderately Important","Moderately Important","Moderately Important","Very Important","Moderately Important","Moderately Important","Moderately Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","80026"
"2018/04/26 9:29:06 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Audiobooks","6","Not Very Important","Moderately Important","Not Very Important","Very Important","Very Important","Moderately Important","Not Very Important","Extremely Important","Very Important","Moderately Important","Moderately Important","Very Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","One","$20,000 to $50,000",""
"2018/04/26 9:44:02 PM MDT","Yes","1-3 times per year","2-5 items","2-5 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","2","Very Important","Moderately Important","Extremely Important","Very Important","Very Important","Moderately Important","Not Very Important","Not Very Important","Moderately Important","Moderately Important","Moderately Important","Moderately Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","One","$50,001 to $100,000","91203"
"2018/04/26 9:44:15 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels","5","Not Very Important","Moderately Important","Very Important","Very Important","Very Important","Moderately Important","Not At All Important","Not Very Important","Not Very Important","Not Very Important","Very Important","Not At All Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","One","$50,001 to $100,000","52001"
"2018/04/26 9:46:44 PM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","1","Not At All Important","Moderately Important","Moderately Important","Moderately Important","Very Important","Moderately Important","Not Very Important","Not Very Important","Moderately Important","Not At All Important","Moderately Important","Not Very Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Male","4-6","$50,001 to $100,000","19344"
"2018/04/26 9:53:59 PM MDT","Yes","21 or more times per year","21-50 items","21-50 items","Young Adult Novels;Adult Novels","1","Moderately Important","Moderately Important","Not Very Important","Moderately Important","Moderately Important","Not Very Important","Not At All Important","Not Very Important","Extremely Important","Not Very Important","Not Very Important","Moderately Important","Very Important","Cover is important--whether it shows up in my Amazon recommendations or it's displayed face-out on the new shelf.","Public Librarian","55-64","Bachelors degree","Male","2-3","$20,000 to $50,000","61356"
"2018/04/26 10:00:23 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels","1","Moderately Important","Moderately Important","Extremely Important","Moderately Important","Very Important","Not Very Important","Not Very Important","Moderately Important","Moderately Important","Not Very Important","Moderately Important","Moderately Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","One","$50,001 to $100,000","92841"
"2018/04/26 10:07:17 PM MDT","Yes","4-10 times per year","21-50 items","2-5 items","","3","Not At All Important","Very Important","Moderately Important","Very Important","Extremely Important","Very Important","Not Very Important","Not At All Important","Not At All Important","Not Very Important","Moderately Important","Moderately Important","","","","55-64","Masters Degree and/or professional license","Male","2-3","$101,000 to $250,000","93711"
"2018/04/26 10:19:31 PM MDT","Yes","21 or more times per year","6-20 items","6-20 items","Young Adult Novels;Adult Novels;Audiobooks","3","Not At All Important","Moderately Important","Very Important","Very Important","Extremely Important","Not At All Important","Not At All Important","Moderately Important","Not Very Important","Not At All Important","Not At All Important","Not At All Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Male","One","$50,001 to $100,000","95134"
"2018/04/26 10:26:37 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Adult Novels;Short Fiction;Audiobooks","3","Not Very Important","Moderately Important","Not At All Important","Moderately Important","Not Very Important","Moderately Important","Not At All Important","Not At All Important","Not Very Important","Very Important","Moderately Important","Very Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Male","2-3","$101,000 to $250,000","90066"
"2018/04/26 10:34:43 PM MDT","Yes","21 or more times per year","6-20 items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","2","Not Very Important","Moderately Important","Not Very Important","Moderately Important","Very Important","Not Very Important","Very Important","Not Very Important","Not Very Important","Not At All Important","Very Important","Moderately Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","92301"
"2018/04/26 10:52:59 PM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Adult Novels","1","Not Very Important","Moderately Important","Moderately Important","Very Important","Moderately Important","Not At All Important","Not At All Important","Not At All Important","Moderately Important","Moderately Important","Moderately Important","Moderately Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$101,000 to $250,000","95112"
"2018/04/26 10:53:26 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Audiobooks","5","Moderately Important","Moderately Important","Not Very Important","Moderately Important","Moderately Important","Very Important","Not Very Important","Not At All Important","Extremely Important","Not Very Important","Very Important","Moderately Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","$101,000 to $250,000","90807"
"2018/04/26 10:56:48 PM MDT","Yes","21 or more times per year","21-50 items","6-20 items","Young Adult Novels;Adult Novels;Audiobooks","2","Not At All Important","","","","Not At All Important","","","","Not At All Important","","","","","","","35-54","Masters Degree and/or professional license","Female","One","$50,001 to $100,000","98112"
"2018/04/26 10:57:43 PM MDT","Yes","4-10 times per year","2-5 items","2-5 items","Young Adult Novels","5","Moderately Important","Moderately Important","Moderately Important","Moderately Important","Not Very Important","Not At All Important","Not Very Important","Not Very Important","Not Very Important","Not At All Important","Moderately Important","Not Very Important","","","Primary or Secondary Teacher or School Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$20,000 to $50,000",""
"2018/04/26 11:03:05 PM MDT","Yes","21 or more times per year","21-50 items","6-20 items","Young Adult Novels;Adult Novels;Audiobooks","2","Not At All Important","","","","Not At All Important","","","","Not At All Important","","","","","","","35-54","Masters Degree and/or professional license","Female","One","$50,001 to $100,000","98112"
"2018/04/26 11:05:17 PM MDT","Yes","21 or more times per year","6-20 items","2-5 items","Young Adult Novels;Adult Novels;Audiobooks","4","Not Very Important","Moderately Important","Extremely Important","Moderately Important","Extremely Important","Very Important","Moderately Important","Not At All Important","Very Important","Not At All Important","Very Important","Moderately Important","","","Public Librarian","25-34","Bachelors degree","Female","One","$20,000 to $50,000","74012"
"2018/04/26 11:28:39 PM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","2","Not At All Important","Very Important","Very Important","Moderately Important","Very Important","Very Important","Moderately Important","Moderately Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","","","Public Librarian;Entertainment Industry Professional","55-64","Two year degree and/or trade apprenticeship","Female","2-3","$20,000 to $50,000","61054"
"2018/04/26 11:39:23 PM MDT","Yes","21 or more times per year","21-50 items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","5","Moderately Important","Moderately Important","Moderately Important","Moderately Important","Extremely Important","Moderately Important","Moderately Important","Moderately Important","Very Important","Moderately Important","Very Important","Very Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","$250,001 to $500,000",""
"2018/04/26 11:57:28 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","6","Moderately Important","Very Important","Moderately Important","Moderately Important","Very Important","Very Important","Not Very Important","Moderately Important","Extremely Important","Moderately Important","Very Important","Moderately Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","$101,000 to $250,000","94928"
"2018/04/27 12:30:24 AM MDT","Yes","11-20 times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Short Fiction","4","Moderately Important","Moderately Important","Very Important","Very Important","Very Important","Very Important","Not At All Important","Not Very Important","Very Important","Very Important","Very Important","Not Very Important","","","","35-54","Doctorate","Male","2-3","Don't know or prefer not to say","91208"
"2018/04/27 1:17:46 AM MDT","Yes","21 or more times per year","More than fifty items","2-5 items","Young Adult Novels;Adult Novels;Audiobooks","1","Not Very Important","Moderately Important","Moderately Important","Not Very Important","Moderately Important","Moderately Important","Not At All Important","Not At All Important","Not Very Important","Not At All Important","Moderately Important","Moderately Important","","","Public Librarian","55-64","Bachelors degree","Female","One","Don't know or prefer not to say","93446"
"2018/04/27 2:39:47 AM MDT","Yes","21 or more times per year","21-50 items","21-50 items","Young Adult Novels;Adult Novels;Audiobooks","6","Very Important","Moderately Important","Not Very Important","Very Important","Very Important","Very Important","Not Very Important","Moderately Important","Very Important","Very Important","Very Important","Moderately Important","Moderately Important","","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","Don't know or prefer not to say","5010"
"2018/04/27 3:11:28 AM MDT","Yes","1-3 times per year","2-5 items","One or fewer items","Short Fiction","1","Extremely Important","Not At All Important","Not At All Important","Moderately Important","Moderately Important","Moderately Important","Not At All Important","Not At All Important","Not Very Important","Not Very Important","Moderately Important","Not At All Important","Not At All Important","","Primary or Secondary Teacher or School Librarian","35-54","Bachelors degree","Male","2-3","$20,000 to $50,000","95820"
"2018/04/27 4:10:34 AM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Adult Novels","2","Moderately Important","Very Important","Extremely Important","Very Important","Very Important","Very Important","Very Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","One","$20,000 to $50,000","96817"
"2018/04/27 4:29:57 AM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Short Fiction","4","Not At All Important","Not Very Important","Not Very Important","Very Important","Moderately Important","Very Important","Not At All Important","Not At All Important","Not At All Important","Not Very Important","Very Important","Moderately Important","Not At All Important","The description on the fly leaf or shelf talker pulls me in. ","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","Don't know or prefer not to say","21784"
"2018/04/27 4:39:08 AM MDT","Yes","1-3 times per year","More than fifty items","More than fifty items","Young Adult Novels","1","Not At All Important","Not Very Important","Moderately Important","Very Important","Extremely Important","Not At All Important","Not At All Important","Not Very Important","Moderately Important","Not At All Important","Very Important","Moderately Important","","","Public Librarian","18-24","Bachelors degree","Female","One","$20,000 to $50,000","16354"
"2018/04/27 5:50:06 AM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Audiobooks","3","Not Very Important","Moderately Important","Moderately Important","Not Very Important","Moderately Important","Moderately Important","Not At All Important","Not Very Important","Not Very Important","Not Very Important","Not At All Important","Not At All Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","One","$50,001 to $100,000","56721"
"2018/04/27 8:03:32 AM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Adult Novels","3","Moderately Important","Moderately Important","Moderately Important","Extremely Important","Very Important","Very Important","Not Very Important","Not Very Important","Moderately Important","Moderately Important","Extremely Important","Extremely Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","79703"
"2018/04/27 8:37:45 AM MDT","Yes","11-20 times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Audiobooks","4","Very Important","Moderately Important","Extremely Important","Extremely Important","Not Very Important","Very Important","Not Very Important","Not Very Important","Moderately Important","Moderately Important","Not Very Important","Not Very Important","","","Public Librarian;Humanities Scholar or Academic Librarian","35-54","Masters Degree and/or professional license","Female","4-6","$50,001 to $100,000","64083"
"2018/04/27 8:43:10 AM MDT","Yes","11-20 times per year","6-20 items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","4","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Moderately Important","Not Very Important","Moderately Important","Does it sound good?","Humanities Scholar or Academic Librarian","25-34","Masters Degree and/or professional license","Female","One","$20,000 to $50,000","50014"
"2018/04/27 8:52:22 AM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","5","Moderately Important","Not Very Important","Not Very Important","Very Important","Moderately Important","Moderately Important","Not At All Important","Not Very Important","Very Important","Moderately Important","Very Important","Not At All Important","Not At All Important","","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","$101,000 to $250,000","13212"
"2018/04/27 9:05:43 AM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Audiobooks","4","Not At All Important","Moderately Important","Not Very Important","Very Important","Very Important","Very Important","Not At All Important","Moderately Important","Extremely Important","Extremely Important","Very Important","Very Important","Extremely Important","Recommended by a friend","","35-54","Masters Degree and/or professional license","Female","4-6","$101,000 to $250,000","94087"
"2018/04/27 9:06:10 AM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels","4","Not Very Important","Very Important","Extremely Important","Moderately Important","Very Important","Very Important","Not Very Important","Not At All Important","Moderately Important","Not At All Important","Moderately Important","Not Very Important","Not At All Important","","Public Librarian","35-54","Two year degree and/or trade apprenticeship","Female","2-3","$20,000 to $50,000","35769"
"2018/04/27 9:17:32 AM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Audiobooks","4","Not Very Important","Not Very Important","Very Important","Not Very Important","Very Important","Moderately Important","Not At All Important","Not At All Important","Not Very Important","Not At All Important","Moderately Important","Not At All Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$101,000 to $250,000","72002"
